gene	PC4_loading
ENSG00000205413.8	0.07751316145248575
ENSG00000118495.21	0.06403571714985182
ENSG00000213983.12	0.05826419192668179
ENSG00000028137.19	0.05483897933394273
ENSG00000249306.8	-0.04784121148838815
ENSG00000197632.9	-0.04694531707713495
ENSG00000077420.17	0.04656756367692814
ENSG00000118898.16	0.04652716072970909
ENSG00000132470.14	0.0459534876438822
ENSG00000166825.15	0.04555913211048097
ENSG00000116711.10	-0.04492575086431554
ENSG00000197020.12	-0.043940260146875965
ENSG00000170373.9	-0.043470080176446504
ENSG00000105492.16	-0.04133652679832563
ENSG00000184635.17	-0.040726838507507156
ENSG00000162433.15	0.0397810738061387
ENSG00000146950.13	0.03941186854720688
ENSG00000101160.15	0.03902844487483069
ENSG00000107159.14	0.03902708083444986
ENSG00000128849.11	0.03832941168227064
ENSG00000156395.14	-0.03778280253198686
ENSG00000153253.20	0.037570020664401856
ENSG00000274290.3	-0.03740926127320602
ENSG00000112294.14	0.03699267312486877
ENSG00000137819.14	0.036981811597183674
ENSG00000179583.21	0.03679203011016032
ENSG00000086289.13	0.03660767034401331
ENSG00000105877.19	-0.03634384107755618
ENSG00000143847.16	0.03583574942294271
ENSG00000022267.19	0.0357121353253018
ENSG00000101670.12	-0.035546485181638346
ENSG00000276410.5	-0.03484071562153685
ENSG00000205189.13	0.03480853975316792
ENSG00000154358.23	0.034070930270944134
ENSG00000211459.2	-0.033959143366199894
ENSG00000198727.2	0.03372851188608322
ENSG00000145536.15	-0.03357245807537335
ENSG00000164976.9	0.03340981598095617
ENSG00000198899.2	0.0333457289644687
ENSG00000210082.2	-0.032695403248503896
ENSG00000147394.20	-0.0325791139741458
ENSG00000198743.7	0.0324684644515181
ENSG00000099864.18	0.03184615351621735
ENSG00000198938.2	0.031799990647023234
ENSG00000079931.15	0.03176880798258445
ENSG00000214193.11	0.0317304257730877
ENSG00000197937.13	-0.03168690917700727
ENSG00000146411.6	0.031517295273615645
ENSG00000162512.16	0.031351321691596094
ENSG00000143061.18	0.03130116067346409
ENSG00000165124.19	0.0311538908342913
ENSG00000177675.9	-0.030908258059647437
ENSG00000158321.19	-0.03081386405208763
ENSG00000099337.5	0.030713285506560817
ENSG00000115461.5	-0.03068803046179965
ENSG00000112414.15	0.030497324694222724
ENSG00000152804.11	0.030466291389164294
ENSG00000198886.2	0.0304341417949145
ENSG00000198763.3	0.030346708733289353
ENSG00000187498.17	-0.03029431697710976
ENSG00000115414.21	-0.030146796286468918
ENSG00000228253.1	0.03014334515689788
ENSG00000107738.20	0.030005355188199002
ENSG00000053254.16	0.02967660294436291
ENSG00000198888.2	0.029665221106265034
ENSG00000189184.12	0.029657286831012847
ENSG00000162407.9	0.029634929073644744
ENSG00000198712.1	0.029614550729658542
ENSG00000152128.13	0.02941713097362829
ENSG00000166813.17	0.029377945417473853
ENSG00000248527.1	0.029291120730323587
ENSG00000026751.17	-0.029165001396223415
ENSG00000185507.21	0.02879225106151773
ENSG00000137486.17	0.028523765448765802
ENSG00000169083.18	-0.0284267383427586
ENSG00000116183.11	-0.028368512853136622
ENSG00000197594.14	0.028344314089980144
ENSG00000269821.2	-0.02834210866884571
ENSG00000117266.16	0.02832336227885052
ENSG00000158747.15	0.02826646992711474
ENSG00000261801.9	0.028263469776087707
ENSG00000146386.8	0.028253556930942544
ENSG00000180914.11	0.028164612012257007
ENSG00000137285.11	0.0281457571053771
ENSG00000225630.1	0.028037419334054403
ENSG00000266208.2	0.027933687205159555
ENSG00000197106.7	0.02779334985507777
ENSG00000170153.11	0.02759595486916889
ENSG00000134853.12	0.027392031870090757
ENSG00000176171.12	0.027259299741036698
ENSG00000198804.2	0.02725001346949627
ENSG00000134871.20	-0.027150901041525292
ENSG00000064309.16	0.027140461279045645
ENSG00000029534.22	0.027139418454019827
ENSG00000141753.7	0.027109698758774368
ENSG00000200087.1	-0.027043891930009036
ENSG00000117602.13	0.02703428994766666
ENSG00000106991.15	0.027012302914613994
ENSG00000119946.12	0.026993438299761332
ENSG00000132688.11	-0.026855320257202945
