gene_id,control_expr,centrioles_mean,fold_change
ENSG00000205189.13,0.0,2.400944194816527,2.400944194816527
ENSG00000169174.13,0.0,1.5566939668204571,1.5566939668204571
ENSG00000007038.11,0.0,0.6459640595891094,0.6459640595891094
ENSG00000168491.10,0.0,0.47791475688037277,0.47791475688037277
ENSG00000152292.18,0.0,0.46836161529551035,0.46836161529551035
ENSG00000143816.8,0.0,0.4263247867428557,0.4263247867428557
ENSG00000283122.1,0.0,0.38906227574131963,0.38906227574131963
ENSG00000161921.17,0.0,0.38207168367505706,0.38207168367505706
ENSG00000003989.18,0.0,0.33760189508194427,0.33760189508194427
ENSG00000111913.20,0.0,0.2890109142056475,0.2890109142056475
ENSG00000281501.1,0.0,0.2839037621271656,0.2839037621271656
ENSG00000307390.1,0.0,0.27910067456307786,0.27910067456307786
ENSG00000012223.13,0.0,0.27843864182268807,0.27843864182268807
ENSG00000126890.14,0.0,0.2774260159496976,0.2774260159496976
ENSG00000105246.6,0.0,0.24177523556726482,0.24177523556726482
ENSG00000163823.4,0.0,0.23022929822031518,0.23022929822031518
ENSG00000121966.8,0.0,0.21561021798182295,0.21561021798182295
ENSG00000261420.1,0.0,0.21015930977450198,0.21015930977450198
ENSG00000293147.1,0.0,0.20971249609139603,0.20971249609139603
ENSG00000205403.15,0.0,0.20727965200036763,0.20727965200036763
ENSG00000274752.1,0.0,0.20727026611957677,0.20727026611957677
ENSG00000285849.1,0.0,0.2060814497712986,0.2060814497712986
ENSG00000164237.9,0.0,0.20601363560131852,0.20601363560131852
ENSG00000232859.10,0.0,0.2058919265186994,0.2058919265186994
ENSG00000173391.9,0.0,0.20363423384793122,0.20363423384793122
ENSG00000225805.4,0.0,0.20312440941105847,0.20312440941105847
ENSG00000291044.2,0.0,0.20153285775704946,0.20153285775704946
ENSG00000298162.1,0.0,0.19366612117256476,0.19366612117256476
ENSG00000172935.10,0.0,0.19325940249906642,0.19325940249906642
ENSG00000221867.9,0.0,0.1920235902423364,0.1920235902423364
ENSG00000304135.1,0.0,0.1900480934327207,0.1900480934327207
ENSG00000176532.4,0.0,0.19002273270513437,0.19002273270513437
ENSG00000170775.3,0.0,0.19002273270513437,0.19002273270513437
ENSG00000175084.13,0.0,0.1886289734339427,0.1886289734339427
ENSG00000151468.11,0.0,0.1879839693842649,0.1879839693842649
ENSG00000273998.2,0.0,0.18386666049791972,0.18386666049791972
ENSG00000154252.12,0.0,0.17629883804011726,0.17629883804011726
ENSG00000102287.19,0.0,0.17402614108607944,0.17402614108607944
ENSG00000144331.20,0.0,0.17292894741486697,0.17292894741486697
ENSG00000241218.1,0.0,0.1727962194842702,0.1727962194842702
ENSG00000236130.3,0.0,0.17144660864800843,0.17144660864800843
ENSG00000289351.3,0.0,0.168114697600021,0.168114697600021
ENSG00000272744.1,0.0,0.1678811327794694,0.1678811327794694
ENSG00000133863.9,0.0,0.16764977817804547,0.16764977817804547
ENSG00000101188.5,0.0,0.16659516662989354,0.16659516662989354
ENSG00000236244.2,0.0,0.1657569230907721,0.1657569230907721
ENSG00000298945.1,0.0,0.16321333500021099,0.16321333500021099
ENSG00000307216.1,0.0,0.16273881999280965,0.16273881999280965
ENSG00000141639.12,0.0,0.16197602183393095,0.16197602183393095
ENSG00000243232.6,0.0,0.16028997320045155,0.16028997320045155
ENSG00000233922.5,0.0,0.15876488714103068,0.15876488714103068
ENSG00000304466.1,0.0,0.1547523494577705,0.1547523494577705
ENSG00000263004.4,0.0,0.15464505620409785,0.15464505620409785
ENSG00000167083.7,0.0,0.1501944804321645,0.1501944804321645
ENSG00000104369.5,0.0,0.149945148595767,0.149945148595767
ENSG00000124875.10,0.0,0.14957435941525898,0.14957435941525898
ENSG00000135111.16,0.0,0.14859466230086762,0.14859466230086762
ENSG00000006377.11,0.0,0.14825520063969727,0.14825520063969727
ENSG00000286675.2,0.0,0.14759665878258693,0.14759665878258693
ENSG00000179674.4,0.0,0.14718079903364614,0.14718079903364614
ENSG00000306985.1,0.0,0.14602863635571958,0.14602863635571958
ENSG00000240457.3,0.0,0.14588985055391523,0.14588985055391523
ENSG00000299739.1,0.0,0.1452165576830476,0.1452165576830476
ENSG00000158022.7,0.0,0.14181162533468858,0.14181162533468858
ENSG00000259968.3,0.0,0.14162689513182336,0.14162689513182336
ENSG00000305073.1,0.0,0.1411897415820124,0.1411897415820124
ENSG00000229178.1,0.0,0.14110751798825677,0.14110751798825677
ENSG00000280744.2,0.0,0.1407050915654963,0.1407050915654963
ENSG00000201221.1,0.0,0.1395345974666462,0.1395345974666462
ENSG00000255002.3,0.0,0.13719699200569166,0.13719699200569166
ENSG00000250327.1,0.0,0.13703151207988257,0.13703151207988257
ENSG00000215481.10,0.0,0.13522696506746545,0.13522696506746545
ENSG00000246774.1,0.0,0.1346552177649366,0.1346552177649366
ENSG00000115596.4,0.0,0.13351721879555595,0.13351721879555595
ENSG00000305089.1,0.0,0.13351721879555595,0.13351721879555595
ENSG00000244564.3,0.0,0.13292787965391023,0.13292787965391023
ENSG00000306999.1,0.0,0.13279455781847127,0.13279455781847127
ENSG00000294807.1,0.0,0.1320780427849079,0.1320780427849079
ENSG00000234577.2,0.0,0.1320780427849079,0.1320780427849079
ENSG00000214402.7,0.0,0.1307095712023793,0.1307095712023793
ENSG00000047597.7,0.0,0.1305378945205091,0.1305378945205091
ENSG00000123496.8,0.0,0.1305378945205091,0.1305378945205091
ENSG00000293349.1,0.0,0.1300150063412152,0.1300150063412152
ENSG00000185168.8,0.0,0.12969809663632853,0.12969809663632853
ENSG00000296588.1,0.0,0.12839832146740235,0.12839832146740235
ENSG00000196437.12,0.0,0.1283109498716011,0.1283109498716011
ENSG00000271888.1,0.0,0.12797700005756404,0.12797700005756404
ENSG00000287014.1,0.0,0.12747866634982757,0.12747866634982757
ENSG00000224383.8,0.0,0.12715718133343426,0.12715718133343426
ENSG00000287870.1,0.0,0.12656729251269327,0.12656729251269327
ENSG00000298909.1,0.0,0.12656729251269327,0.12656729251269327
ENSG00000308776.1,0.0,0.1263164709420079,0.1263164709420079
ENSG00000250506.9,0.0,0.1263164709420079,0.1263164709420079
ENSG00000069482.7,0.0,0.1258586467401968,0.1258586467401968
ENSG00000199038.1,0.0,0.12526417060404288,0.12526417060404288
ENSG00000251680.7,0.0,0.12479631179069889,0.12479631179069889
ENSG00000305965.1,0.0,0.12479631179069889,0.12479631179069889
ENSG00000260941.1,0.0,0.12340676395553749,0.12340676395553749
ENSG00000258512.3,0.0,0.12340676395553749,0.12340676395553749
ENSG00000286443.1,0.0,0.12279903745535428,0.12279903745535428
ENSG00000197614.11,0.0,0.12279903745535428,0.12279903745535428
ENSG00000233347.1,0.0,0.12207019752389507,0.12207019752389507
ENSG00000304875.1,0.0,0.12165468252907727,0.12165468252907727
ENSG00000273368.1,0.0,0.12106730770643165,0.12106730770643165
ENSG00000261595.2,0.0,0.12057359706783287,0.12057359706783287
ENSG00000172742.6,0.0,0.12057359706783287,0.12057359706783287
ENSG00000197245.6,0.0,0.1198401745810812,0.1198401745810812
ENSG00000287463.2,0.0,0.11937100112755475,0.11937100112755475
ENSG00000287149.2,0.0,0.11931291126155798,0.11931291126155798
ENSG00000110786.18,0.0,0.11838765417834672,0.11838765417834672
ENSG00000286491.4,0.0,0.11819098927473828,0.11819098927473828
ENSG00000309543.1,0.0,0.11811789001753839,0.11811789001753839
ENSG00000277047.6,0.0,0.11811789001753839,0.11811789001753839
ENSG00000235055.3,0.0,0.11811789001753839,0.11811789001753839
ENSG00000294652.1,0.0,0.11757645730985058,0.11757645730985058
ENSG00000264655.1,0.0,0.11735044644698994,0.11735044644698994
ENSG00000175445.17,0.0,0.11670838653845556,0.11670838653845556
ENSG00000224272.3,0.0,0.11670838653845556,0.11670838653845556
ENSG00000109854.14,0.0,0.11670838653845556,0.11670838653845556
ENSG00000289136.2,0.0,0.11662917382877364,0.11662917382877364
ENSG00000259129.7,0.0,0.11628497514077318,0.11628497514077318
ENSG00000250564.3,0.0,0.11499357862207325,0.11499357862207325
ENSG00000294706.1,0.0,0.1148591318809566,0.1148591318809566
ENSG00000276007.1,0.0,0.11463701737951211,0.11463701737951211
ENSG00000243414.6,0.0,0.1146299785865017,0.1146299785865017
ENSG00000302689.1,0.0,0.1146299785865017,0.1146299785865017
ENSG00000268896.1,0.0,0.11426278797619567,0.11426278797619567
ENSG00000258404.2,0.0,0.11417849676244574,0.11417849676244574
ENSG00000302166.1,0.0,0.11417849676244574,0.11417849676244574
ENSG00000305105.1,0.0,0.1137608157971741,0.1137608157971741
ENSG00000293239.2,0.0,0.1137608157971741,0.1137608157971741
ENSG00000005102.14,0.0,0.11266306332080786,0.11266306332080786
ENSG00000112499.13,0.0,0.11266306332080786,0.11266306332080786
ENSG00000233482.1,0.0,0.11266306332080786,0.11266306332080786
ENSG00000289516.2,0.0,0.11259961070981762,0.11259961070981762
ENSG00000252274.1,0.0,0.11147072532592722,0.11147072532592722
ENSG00000271551.2,0.0,0.11082099226453049,0.11082099226453049
ENSG00000168589.15,0.0,0.11037414259815406,0.11037414259815406
ENSG00000131668.14,0.0,0.11029316561796892,0.11029316561796892
ENSG00000160190.14,0.0,0.11029316561796892,0.11029316561796892
ENSG00000256193.7,0.0,0.11029316561796892,0.11029316561796892
ENSG00000259579.2,0.0,0.10917930885532287,0.10917930885532287
ENSG00000283439.4,0.0,0.10852874820410902,0.10852874820410902
ENSG00000279908.1,0.0,0.10852874820410902,0.10852874820410902
ENSG00000301828.1,0.0,0.10754116164932877,0.10754116164932877
ENSG00000277475.1,0.0,0.10671286617533857,0.10671286617533857
ENSG00000172000.7,0.0,0.10662412936691926,0.10662412936691926
ENSG00000231256.8,0.0,0.10662412936691926,0.10662412936691926
ENSG00000130487.9,0.0,0.10586109327091349,0.10586109327091349
ENSG00000271009.3,0.0,0.10574508754948693,0.10574508754948693
ENSG00000228540.1,0.0,0.10574508754948693,0.10574508754948693
ENSG00000225124.1,0.0,0.10540171139340994,0.10540171139340994
ENSG00000293918.1,0.0,0.10540171139340994,0.10540171139340994
ENSG00000203288.7,0.0,0.10520158893674766,0.10520158893674766
ENSG00000302436.1,0.0,0.10520158893674766,0.10520158893674766
ENSG00000260723.2,0.0,0.10483063989841154,0.10483063989841154
ENSG00000259584.2,0.0,0.10483063989841154,0.10483063989841154
ENSG00000218265.1,0.0,0.10466481729303548,0.10466481729303548
ENSG00000262481.5,0.0,0.10440388200195796,0.10440388200195796
ENSG00000180938.6,0.0,0.1040313319137045,0.1040313319137045
ENSG00000284638.2,0.0,0.1040313319137045,0.1040313319137045
ENSG00000197921.6,0.0,0.1040313319137045,0.1040313319137045
ENSG00000198723.11,0.0,0.10355312407103512,0.10355312407103512
ENSG00000286331.1,0.0,0.10300302832931318,0.10300302832931318
ENSG00000254503.1,0.0,0.10263464095611191,0.10263464095611191
ENSG00000184515.11,0.0,0.10238263187094392,0.10238263187094392
ENSG00000302343.1,0.0,0.10238263187094392,0.10238263187094392
ENSG00000226094.1,0.0,0.10238263187094392,0.10238263187094392
ENSG00000307196.1,0.0,0.10174474966520969,0.10174474966520969
ENSG00000239389.8,0.0,0.10174474966520969,0.10174474966520969
ENSG00000298990.1,0.0,0.10174474966520969,0.10174474966520969
ENSG00000297401.1,0.0,0.10166268209545204,0.10166268209545204
ENSG00000277548.1,0.0,0.1011457111144066,0.1011457111144066
ENSG00000227758.1,0.0,0.10102900257920489,0.10102900257920489
ENSG00000212242.1,0.0,0.10097294527136172,0.10097294527136172
ENSG00000263279.2,0.0,0.10074292507633209,0.10074292507633209
ENSG00000237921.2,0.0,0.10025529294612595,0.10025529294612595
ENSG00000306097.1,0.0,0.10025529294612595,0.10025529294612595
ENSG00000271092.5,0.0,0.1001108888215064,0.1001108888215064
